GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1000,Alabama,5,CA30,10,...,Personal income (thousands of dollars),103105812,108000944,111693478,114176585,119399497,128541881,136187496,144954288,152246048,157727573,155513766,161256950,166595407,170881367,172789879,178612937,185484754,189161974
1000,Alabama,5,CA30,45,...,  Net earnings by place of residence,67953207,70249017,72246488,73710335,76945571,82802416,87702569,92779652,95746088,96521618,94794563,96284260,100047681,102598884,103756956,106641492,110358001,112629694
1000,Alabama,5,CA30,50,...,  Personal current transfer receipts,16653014,17749697,19206855,20544926,21813823,23108759,24844889,26782084,28807006,32196827,34674225,37939671,38706846,38882492,39745215,41347075,43007428,43949383
1000,Alabama,5,CA30,60,...,    Income maintenance benefits 1/,1913390,1919785,2014629,2256049,2461383,2651735,2861070,2875481,3267368,3467801,4074183,4564923,4822853,4743299,4784836,4715262,4691092,4634246
1000,Alabama,5,CA30,70,...,    Unemployment insurance compensation,225086,238118,326649,419010,411230,283553,245295,233141,252597,419594,1094561,1163587,929843,659440,464044,268992,230175,219076
1000,Alabama,5,CA30,80,...,    Retirement and other,14514538,15591794,16865577,17869867,18941210,20173471,21738524,23673462,25287041,28309432,29505481,32211161,32954150,33479753,34496335,36362821,38086161,39096061
1000,Alabama,5,CA30,90,...,"  Dividends, interest, and rent 2/",18499591,20002230,20240135,19921324,20640103,22630706,23640038,25392552,27692954,29009128,26044978,27033019,27840880,29399991,29287708,30624370,32119325,32582897
1000,Alabama,5,CA30,100,...,  Population (persons) 3/,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785492,4799918,4815960,4829479,4843214,4853875,4863300
1000,Alabama,5,CA30,110,...,  Per capita personal income 4/,23274,24258,25001,25485,26513,28371,29802,31315,32581,33430,32685,33697,34708,35482,35778,36879,38214,38896
1000,Alabama,5,CA30,120,...,  Per capita net earnings 4/,15339,15779,16171,16453,17086,18276,19192,20043,20490,20457,19923,20120,20844,21304,21484,22019,22736,23159
1000,Alabama,5,CA30,130,...,  Per capita personal current transfer receipts 4/,3759,3987,4299,4586,4844,5100,5437,5786,6165,6824,7288,7928,8064,8074,8230,8537,8860,9037
1000,Alabama,5,CA30,140,...,    Per capita income maintenance benefits 4/,432,431,451,504,547,585,626,621,699,735,856,954,1005,985,991,974,966,953
1000,Alabama,5,CA30,150,...,    Per capita unemployment insurance compensation 4/,51,53,73,94,91,63,54,50,54,89,230,243,194,137,96,56,47,45
1000,Alabama,5,CA30,160,...,    Per capita retirement and other 4/,3276,3502,3775,3989,4206,4453,4757,5114,5411,6000,6201,6731,6866,6952,7143,7508,7847,8039
1000,Alabama,5,CA30,170,...,"  Per capita dividends, interest, and rent 4/",4176,4493,4530,4447,4583,4995,5173,5486,5926,6148,5474,5649,5800,6105,6064,6323,6617,6700
1000,Alabama,5,CA30,180,...,  Earnings by place of work,75412678,77875908,80155199,82244447,85843240,92026472,97208304,102707255,105867532,107179144,105348328,107156667,109731938,112281929,115190545,118444356,122666847,125150213
1000,Alabama,5,CA30,190,...,    Wages and salaries,55189942,57239267,58650321,60198229,62217146,65599510,69335271,73737331,77214135,79098709,76327952,77347723,79014922,81191884,82358134,85171508,88397705,90592415
1000,Alabama,5,CA30,200,...,    Supplements to wages and salaries,12191523,12782770,13528528,14095703,15080453,16304942,17372927,17732156,18329892,18796662,19312123,19901479,20360393,19520490,19666312,20671735,21851603,22316878
1000,Alabama,5,CA30,201,...,      Employer contributions for employee pension and insurance funds 5/,8064813,8509219,9146013,9606517,10411873,11433967,12221028,12371052,12745289,13049649,13702413,13993626,14269885,13350928,13402082,14290079,15250142,15665766
1000,Alabama,5,CA30,202,...,      Employer contributions for government social insurance,4126710,4273551,4382515,4489186,4668580,4870975,5151899,5361104,5584603,5747013,5609710,5907853,6090508,6169562,6264230,6381656,6601461,6651112
1000,Alabama,5,CA30,210,...,    Proprietors' income,8031213,7853871,7976350,7950515,8545641,10122020,10500106,11237768,10323505,9283773,9708253,9907465,10356623,11569555,13166099,12601113,12417539,12240920
1000,Alabama,5,CA30,220,...,      Farm proprietors' income,1108227,811829,1196103,798889,1157273,1592914,1509143,803256,584586,671756,823944,643462,288815,637513,1997280,1498889,1357605,781801
1000,Alabama,5,CA30,230,...,      Nonfarm proprietors' income,6922986,7042042,6780247,7151626,7388368,8529106,8990963,10434512,9738919,8612017,8884309,9264003,10067808,10932042,11168819,11102224,11059934,11459119
1000,Alabama,5,CA30,240,...,Total employment (number of jobs),2377407,2392880,2376024,2366944,2374124,2429239,2490744,2550043,2608233,2588028,2487389,2462162,2500322,2504840,2524124,2554117,2589452,2625468
1000,Alabama,5,CA30,250,...,  Wage and salary employment,2007120,2008801,1988146,1973370,1968387,2003918,2040176,2077522,2099969,2080437,1975962,1951485,1951695,1965084,1980147,1997408,2025920,2049083
1000,Alabama,5,CA30,260,...,  Proprietors employment,370287,384079,387878,393574,405737,425321,450568,472521,508264,507591,511427,510677,548627,539756,543977,556709,563532,576385
1000,Alabama,5,CA30,270,...,    Farm proprietors employment 6/,50130,48927,47687,41915,40802,39137,38955,37981,43094,41846,41130,40745,40047,38196,38707,38639,38341,39029
1000,Alabama,5,CA30,280,...,    Nonfarm proprietors employment,320157,335152,340191,351659,364935,386184,411613,434540,465170,465745,470297,469932,508580,501560,505270,518070,525191,537356
1000,Alabama,5,CA30,290,...,Average earnings per job (dollars),31721,32545,33735,34747,36158,37883,39028,40277,40590,41413,42353,43521,43887,44826,45636,46374,47372,47668
1000,Alabama,5,CA30,300,...,  Average wages and salaries,27497,28494,29500,30505,31608,32736,33985,35493,36769,38020,38628,39635,40485,41317,41592,42641,43633,44211
1000,Alabama,5,CA30,310,...,  Average nonfarm proprietors' income,21624,21011,19931,20337,20246,22086,21843,24013,20936,18491,18891,19713,19796,21796,22105,21430,21059,21325
2000,Alaska,8,CA30,10,...,Personal income (thousands of dollars),18429969,19875476,20981151,22013624,23077755,24255862,25928163,27582437,29744447,32853999,32731783,34711427,37151409,38490699,37916014,40242478,41701086,41283275
2000,Alaska,8,CA30,45,...,  Net earnings by place of residence,12478442,13366333,14341498,15337239,16387042,17389074,18656109,19651165,20699694,21979662,22895428,23928062,25546521,26526067,26221731,27054481,27847340,27432075
2000,Alaska,8,CA30,50,...,  Personal current transfer receipts,2715458,3077404,3219451,3306718,3245724,3208055,3390845,3592768,4075140,5451446,4738773,5290043,5536364,5406858,5408127,6516069,6676772,6615426
2000,Alaska,8,CA30,60,...,    Income maintenance benefits 1/,246537,283001,293321,320488,334042,353804,381360,397864,433139,460688,593749,744745,809220,839657,841388,901347,901535,899961
2000,Alaska,8,CA30,70,...,    Unemployment insurance compensation,122702,110963,110282,159057,166489,123529,107188,96505,90410,111124,215456,270603,266449,233119,197303,115777,94992,109355
2000,Alaska,8,CA30,80,...,    Retirement and other,2346219,2683440,2815848,2827173,2745193,2730722,2902297,3098399,3551591,4879634,3929568,4274695,4460695,4334082,4369436,5498945,5680245,5606110
2000,Alaska,8,CA30,90,...,"  Dividends, interest, and rent 2/",3236069,3431739,3420202,3369667,3444989,3658733,3881209,4338504,4969613,5422891,5097582,5493322,6068524,6557774,6286156,6671928,7176974,7235774
